x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-52,-24,1.5,0.00011696446022727273,5.515543181818181e-05,8.112943181818181e-05,0.00011368607954545454,0.00010112836363636361,0.00011416290909090907,0.00013416517045454544,0.00011159181818181816
-48,-24,1.5,0.0001137965625,5.1537659090909086e-05,7.888690340909089e-05,0.00011379232954545452,9.907680681818179e-05,0.00011222781818181819,0.00013094545454545454,0.00010836563636363636
-44,-24,1.5,0.00011118068181818182,4.789579545454545e-05,7.693437499999998e-05,0.00011173181818181817,9.79426875e-05,0.00011006254545454543,0.0001284710227272727,0.00010501709090909091
-40,-24,1.5,0.00010761289772727274,4.485556818181818e-05,7.331255681818182e-05,0.00010942613636363634,9.636995454545453e-05,0.00010776454545454546,0.00012514032670454543,0.00010169909090909091
-36,-24,1.5,0.00010509801136363637,4.150334090909091e-05,7.198147727272727e-05,0.00010752556818181816,9.439452272727271e-05,0.000104926,0.00012194110795454545,9.809381818181817e-05
-32,-24,1.5,0.00010142872159090907,3.8372772727272724e-05,7.001514204545454e-05,0.00010494232954545451,9.234833522727272e-05,0.00010301545454545457,0.00011895276988636364,9.503054545454545e-05
-28,-24,1.5,9.873409090909089e-05,3.534079545454545e-05,6.726201704545455e-05,0.00010342528409090908,9.02928409090909e-05,0.00010078436363636363,0.00011530095170454544,9.210454545454545e-05
-24,-24,1.5,9.519494318181818e-05,3.1502159090909084e-05,6.544667613636364e-05,0.00010075056818181819,8.825846590909091e-05,9.779654545454546e-05,0.0001122939630681818,8.9294e-05
-20,-24,1.5,9.256576704545454e-05,2.9656886363636363e-05,6.322241477272726e-05,9.814630681818181e-05,8.627062499999998e-05,9.629927272727273e-05,0.0001083834375,8.659472727272728e-05
-16,-24,1.5,8.97440625e-05,2.7359863636363637e-05,6.043451704545454e-05,9.629659090909089e-05,8.433946022727273e-05,9.449218181818182e-05,0.00010594870738636362,8.437563636363635e-05
-12,-24,1.5,8.681446022727273e-05,2.5157909090909088e-05,5.911079545454544e-05,9.363039772727272e-05,8.251067045454546e-05,9.294272727272726e-05,0.00010304531250000001,8.147981818181816e-05
-8,-24,1.5,8.448647727272727e-05,2.3015886363636363e-05,5.6997727272727274e-05,9.195085227272729e-05,8.076074999999999e-05,9.080527272727273e-05,0.00010055407670454545,7.906836363636362e-05
-4,-24,1.5,8.142622159090908e-05,2.0880363636363632e-05,5.523761363636363e-05,9.021562499999999e-05,7.911463636363636e-05,8.924745454545453e-05,9.847112215909091e-05,7.677618181818182e-05
0,-24,1.5,7.905681818181818e-05,1.8200454545454544e-05,5.369426136363636e-05,8.766306818181816e-05,7.755932386363634e-05,8.778218181818182e-05,9.645464488636361e-05,7.435272727272727e-05
4,-24,1.5,7.573413068181817e-05,1.5972522727272728e-05,5.185272727272727e-05,8.621590909090909e-05,7.609576704545453e-05,8.63961818181818e-05,9.516258522727272e-05,7.229381818181819e-05
8,-24,1.5,7.23372443181818e-05,1.3617204545454546e-05,5.042994318181818e-05,8.462559659090909e-05,7.455238636363637e-05,8.470472727272728e-05,9.344857954545453e-05,7.02e-05
12,-24,1.5,6.669074147727272e-05,1.198959090909091e-05,4.855374999999999e-05,8.318872159090909e-05,7.404886363636362e-05,8.358218181818182e-05,9.065985795454548e-05,6.798527272727273e-05
16,-24,1.5,6.055258806818181e-05,1.096572727272727e-05,4.701616477272727e-05,8.119610795454545e-05,7.227161931818181e-05,8.234563636363637e-05,8.793318181818181e-05,6.6038e-05
20,-24,1.5,5.668125852272727e-05,1.0248863636363636e-05,4.505883522727272e-05,7.979738636363635e-05,7.12734034090909e-05,8.109545454545455e-05,8.480339488636363e-05,6.391018181818182e-05
24,-24,1.5,5.4375571022727265e-05,9.800704545454544e-06,4.192713068181817e-05,7.790508522727272e-05,7.015813636363635e-05,7.969418181818182e-05,8.285099431818182e-05,6.0972000000000005e-05
